added_latency_s,method,fault_leg,trial_timestamp,success,response_time_s,response_steps,llm_calls
3,Baseline Fair,BL,20260808_064644,1,27.65,168703,48
3,Baseline Fair,BL,20260808_064722,1,29.51,180804,12
3,Baseline Fair,BL,20260808_064801,1,26.159,157670,76
3,Baseline Fair,BR,20260808_064839,1,28.271,165307,35
3,Baseline Fair,BR,20260808_064917,1,27.052,161483,59
3,Baseline Fair,BR,20260808_064956,1,27.945,169372,42
3,Baseline Fair,FL,20260808_064254,1,29.221,173099,17
3,Baseline Fair,FL,20260808_064332,1,28.965,176468,23
3,Baseline Fair,FL,20260808_064411,1,26.128,157714,78
3,Baseline Fair,FR,20260808_064449,1,24.59,150257,108
3,Baseline Fair,FR,20260808_064527,1,26.036,159799,80
3,Baseline Fair,FR,20260808_064606,1,27.655,167821,48
5,HERA,BL,20260808_044316,1,7.184,45398,6
5,HERA,BL,20260808_044357,1,7.079,45103,6
5,HERA,BL,20260808_044437,1,7.173,46157,6
5,HERA,BR,20260808_044517,1,7.131,45954,6
5,HERA,BR,20260808_044558,1,7.295,47090,6
5,HERA,BR,20260808_044638,1,7.109,45348,6
5,HERA,FL,20260808_043914,1,7.167,45811,6
5,HERA,FL,20260808_043955,1,7.074,45700,6
5,HERA,FL,20260808_044035,1,7.027,45360,6
5,HERA,FR,20260808_044115,1,27.22,176340,7
5,HERA,FR,20260808_044155,1,7.175,46054,6
5,HERA,FR,20260808_044236,1,7.155,45218,6
5,Baseline C,BL,20260808_045119,0,,188237,3
5,Baseline C,BL,20260808_045159,0,,188500,3
5,Baseline C,BL,20260808_045239,0,,189860,3
5,Baseline C,BR,20260808_045319,0,,191618,3
5,Baseline C,BR,20260808_045400,0,,186400,3
5,Baseline C,BR,20260808_045440,0,,181933,3
5,Baseline C,FL,20260808_044718,0,,188500,3
5,Baseline C,FL,20260808_044758,0,,188910,3
5,Baseline C,FL,20260808_044838,0,,181651,3
5,Baseline C,FR,20260808_044919,0,,185236,3
5,Baseline C,FR,20260808_044959,0,,187100,3
5,Baseline C,FR,20260808_045039,0,,187522,3
5,Baseline Fair,BL,20260808_065438,0,,,3
5,Baseline Fair,BL,20260808_065518,1,28.479,172960,32
5,Baseline Fair,BL,20260808_065558,0,,,3
5,Baseline Fair,BR,20260808_065639,0,,,3
5,Baseline Fair,BR,20260808_065719,0,,,3
5,Baseline Fair,BR,20260808_065759,0,,,3
5,Baseline Fair,FL,20260808_065036,0,,,3
5,Baseline Fair,FL,20260808_065116,0,,,3
5,Baseline Fair,FL,20260808_065156,0,,,3
5,Baseline Fair,FR,20260808_065237,0,,,3
5,Baseline Fair,FR,20260808_065317,0,,,3
5,Baseline Fair,FR,20260808_065357,0,,,3
10,HERA,BL,20260808_050759,1,12.159,79042,5
10,HERA,BL,20260808_050844,1,12.104,75800,5
10,HERA,BL,20260808_050929,1,12.15,76500,5
10,HERA,BR,20260808_051014,1,12.196,77200,5
10,HERA,BR,20260808_051059,1,12.368,77200,5
10,HERA,BR,20260808_051144,1,12.134,75100,5
10,HERA,FL,20260808_050328,1,12.175,79383,5
10,HERA,FL,20260808_050413,1,12.05,77731,5
10,HERA,FL,20260808_050458,1,12.378,80271,5
10,HERA,FR,20260808_050543,1,12.255,80462,5
10,HERA,FR,20260808_050628,1,12.187,78346,5
10,HERA,FR,20260808_050714,1,12.196,79300,5
10,Baseline C,BL,20260808_051701,0,,183844,3
10,Baseline C,BL,20260808_051746,0,,182900,3
10,Baseline C,BL,20260808_051831,0,,181252,3
10,Baseline C,BR,20260808_051917,0,,182635,3
10,Baseline C,BR,20260808_052002,0,,182423,3
10,Baseline C,BR,20260808_052047,0,,182200,3
10,Baseline C,FL,20260808_051230,0,,172734,3
10,Baseline C,FL,20260808_051315,0,,167500,3
10,Baseline C,FL,20260808_051400,0,,171000,3
10,Baseline C,FR,20260808_051445,0,,173344,3
10,Baseline C,FR,20260808_051531,0,,178700,3
10,Baseline C,FR,20260808_051616,0,,182200,3
10,Baseline Fair,BL,20260808_070316,0,,,3
10,Baseline Fair,BL,20260808_070401,0,,,3
10,Baseline Fair,BL,20260808_070446,0,,,3
10,Baseline Fair,BR,20260808_070532,0,,,3
10,Baseline Fair,BR,20260808_070617,0,,,3
10,Baseline Fair,BR,20260808_070702,0,,,3
10,Baseline Fair,FL,20260808_065845,0,,,3
10,Baseline Fair,FL,20260808_065930,0,,,3
10,Baseline Fair,FL,20260808_070015,0,,,3
10,Baseline Fair,FR,20260808_070100,0,,,3
10,Baseline Fair,FR,20260808_070145,0,,,3
10,Baseline Fair,FR,20260808_070231,0,,,3
